seed,fold,model,rmse,mae,r2,converged,warnings
20250909,1,ridge,0.03462987184735145,0.02738042963880994,0.07980186254314037,True,
20250909,1,random_forest,0.033951437246884576,0.026523615454340274,0.1155039279182618,True,
20250909,2,mixed_linear,0.0339129703919512,0.027456991856768524,-0.23012625140332488,True,
20250909,2,mixed_hinge18,0.034125998577221046,0.027596017261480425,-0.24562914680397774,True,
20250909,2,ridge,0.030588999103897688,0.02491923840996917,-0.0008029082301850288,True,
20250909,2,random_forest,0.0292772720495985,0.023658891825783623,0.08319021093922851,True,
20250909,3,mixed_linear,0.036368657251755816,0.02990261886435587,0.008965180852707255,True,
20250909,3,mixed_hinge18,0.036378200955879014,0.02995976718917512,0.008444986554273948,True,
20250909,3,ridge,0.03464995206627969,0.028094613508429494,0.10042028114274448,True,
20250909,3,random_forest,0.0330690472504815,0.025004886087275253,0.1806343661038723,True,
20250909,4,mixed_linear,0.03333379317630906,0.026971920773440496,-0.12721484030415864,True,
20250909,4,mixed_hinge18,0.03337570884019043,0.02704503971704729,-0.13005146103625131,True,
20250909,4,ridge,0.032412304049768664,0.026757544499414858,-0.06575415230235104,True,
20250909,4,random_forest,0.029421253650762036,0.02421737815271236,0.12186846540616048,True,
20250910,0,mixed_linear,0.03384176832773449,0.028467149539565136,-0.11004521683865498,True,
20250910,0,mixed_hinge18,0.03371843557915092,0.028187057910789282,-0.10196907503954056,True,
20250910,0,ridge,0.03197625626825515,0.027924311449317958,0.00896314527553077,True,
20250910,0,random_forest,0.029353094771254105,0.024708203549607493,0.16489253241344803,True,
20250910,1,mixed_linear,0.03665407875214684,0.030192625681987727,-0.22158324898713522,True,
20250910,1,mixed_hinge18,0.0369313940987525,0.030465868928388734,-0.24013754327390102,True,
20250910,1,ridge,0.033924014738997206,0.027453725171634843,-0.046388451836923306,True,
20250910,1,random_forest,0.03094910973679068,0.024362246399979304,0.12908699978474192,True,
20250910,2,mixed_linear,0.0337830163889578,0.02547230036534671,0.10765000437403516,True,
20250910,2,mixed_hinge18,0.03375855530516787,0.025573629728520484,0.10894177449760867,True,
20250910,2,ridge,0.034993692260736,0.026435962012200366,0.042546007169356526,True,
20250910,2,random_forest,0.03462700278653506,0.025342641599594547,0.06250668000927073,True,
20250910,3,mixed_linear,0.030815788244646824,0.02486507702129316,0.10262462881772016,True,
20250910,3,mixed_hinge18,0.031104669349777694,0.024902839719165275,0.08572096379871186,True,
20250910,3,ridge,0.030609694584769535,0.02516030363459837,0.11458764786629749,True,
20250910,3,random_forest,0.03042412455442178,0.024152278859915378,0.1252906587953856,True,
20250910,4,mixed_linear,0.034726949821626774,0.02846594338475935,-0.22175577697319593,True,
20250910,4,mixed_hinge18,0.03482081514338434,0.028581469451603097,-0.2283694005547825,True,
20250910,4,ridge,0.03277632876821357,0.026154708469056688,-0.08835790663008702,True,
20250910,4,random_forest,0.02986585465718483,0.024310920535142853,0.09634841076699419,True,
20250911,0,mixed_linear,0.037144024349847794,0.029342984286080006,-0.04484316709816927,True,
20250911,0,mixed_hinge18,0.03722139427127479,0.029412999685013232,-0.04920045623158775,True,
20250911,0,ridge,0.035255463833636515,0.027695802756112966,0.058704328135147366,True,
20250911,0,random_forest,0.03307041451172471,0.025301418887266367,0.17176710926452965,True,
20250911,1,mixed_linear,0.03207237909207137,0.026014049234453673,0.03512868350819398,True,
20250911,1,mixed_hinge18,0.03202017287197698,0.026019360430190604,0.03826728991503947,True,
20250911,1,ridge,0.03138651728527875,0.02560253598560857,0.07595462200370151,True,
20250911,1,random_forest,0.0303381710724512,0.024110335506956293,0.1366521046097039,True,
20250911,2,mixed_linear,0.03590267584562933,0.029415901961983956,-0.12529577776734802,True,
20250911,2,mixed_hinge18,0.036188545843276916,0.029598285141181305,-0.1432871387243002,True,
20250911,2,ridge,0.03437686124077639,0.027517872078717538,-0.03168115034130259,True,
20250911,2,random_forest,0.03255516297735905,0.025086440246929614,0.07476340625824418,True,
20250911,3,mixed_linear,0.030468655350366095,0.02488649020688791,-0.03989354133845513,True,
20250911,3,mixed_hinge18,0.030460060977994474,0.0248266896103267,-0.03930697315917464,True,
20250911,3,ridge,0.028872704103499968,0.02404764454472022,0.06619278636608683,True,
20250911,3,random_forest,0.027635108857359147,0.022698652599743383,0.14453023732076287,True,
20250911,4,mixed_linear,0.0329342897460028,0.0268823998523359,-0.06359199790265468,True,
20250911,4,mixed_hinge18,0.03310834844235208,0.026926463367206117,-0.0748639360574237,True,
20250911,4,ridge,0.032000247819920676,0.02647182512206345,-0.0041188974140886625,True,
20250911,4,random_forest,0.031018878147622206,0.02515756405249652,0.05652449185955433,True,
20250912,0,mixed_linear,0.0351714347199077,0.029922999116319966,-0.1390334698243325,True,
20250912,0,mixed_hinge18,0.03533557048306414,0.02982831577507538,-0.1496894107416873,True,
20250912,0,ridge,0.03181816784508498,0.026605374384947346,0.06780524790750031,True,
20250912,0,random_forest,0.028736238166743814,0.023870048654320894,0.2396454561003074,True,
20250912,1,mixed_linear,0.03624582309716524,0.02847793673973302,0.02487234982170372,True,
20250912,1,mixed_hinge18,0.036280423105043175,0.028512506566606838,0.02300976124170029,True,
20250912,1,ridge,0.035553003144717654,0.027900730650214263,0.06179418414256366,True,
20250912,1,random_forest,0.034736096145222765,0.025870253768059587,0.10441346660267181,True,
20250912,2,mixed_linear,0.03307994276010567,0.026803264659170527,-0.0886756573491041,True,
20250912,2,mixed_hinge18,0.03304508987510622,0.026806478801260507,-0.08638281789560609,True,
20250912,2,ridge,0.03322557210802777,0.027108369792233324,-0.09828221006083848,True,
20250912,2,random_forest,0.03129074891379662,0.02555529591813474,0.02590586418909513,True,
20250912,3,mixed_linear,0.03124638355864015,0.024741562261816147,-0.020272770713847477,True,
20250912,3,mixed_hinge18,0.031468844518982915,0.02482902505736116,-0.03485230296270703,True,
20250912,3,ridge,0.0298396393862148,0.02370473986603662,0.0695266950203618,True,
20250912,3,random_forest,0.029973781228999307,0.023698824092030762,0.06114214644870686,True,
20250912,4,mixed_linear,0.03266819316905759,0.026700966473049682,0.023306078581816103,True,
