iteration,mode,success,intercept,beta_bmi_std,sigma,bmi_mean,bmi_sd,n_left,n_interval,n_right,n_uninformative,rho80_cuts,rho80_times,rho80_cost,rho90_cuts,rho90_times,rho90_cost
47,ordinary,True,2.148354047636539,0.14403300168724875,0.44881723563693837,31.678494923910012,3.134422020811624,217,43,7,0,"[30.14854758231975, 32.2768860333865, 35.991388560000004]","[11.449763818391538, 12.535819215566026, 14.130764426495986, 19.308262015752256]",48.74373905807256,"[29.975810298022402, 32.02172669, 34.827108005]","[13.949133868233808, 15.28671325624115, 17.117902433511897, 23.523064396143862]",43.480863310129635
48,ordinary,True,2.1096885122142877,0.06829364096962048,0.4635820912513595,31.84164728469991,2.9547586776556316,217,43,7,0,"[30.9825528, 33.31298934591101, 35.78833718]","[11.793415416673142, 12.474206746243206, 13.119952947437028, 14.425468088488016]",20.13007647338398,"[30.75052001013085, 33.31298934591101, 35.78833718]","[14.474579398768064, 15.377520291619787, 16.18713822240352, 18.514246623328564]",16.074176673971188
49,ordinary,True,2.136200999725736,0.13092448525970551,0.47882528415581,31.949795567934544,3.091769332929807,217,43,7,0,"[30.97970272281495, 33.85248154497105, 36.587414455]","[11.886687656750011, 13.43385488272977, 14.965886910987606, 18.691255828397292]",44.790143044169795,"[30.97970272281495, 33.5885526, 35.661028654999996]","[14.789606203121972, 16.58382413805348, 18.214218814528678, 23.073980051399893]",39.43784058043349
50,ordinary,True,2.116648082642273,0.17159879659247865,0.4397641053377891,31.68305592311544,2.8173565044032554,217,43,7,0,"[30.6453224487093, 33.06450860593305, 35.689195755]","[10.974030147561429, 12.563314677786176, 14.649197208962352, 20.12090316253465]",53.72459500301997,"[30.70173971, 32.642336522060546, 34.824950689999994]","[13.54839160924691, 15.263344686574657, 17.393344787609188, 24.415661761793082]",46.40827316575063
51,ordinary,True,1.8727518085271093,0.0708843569641386,0.6216160793997265,31.861218598908135,3.073364969743864,217,43,7,0,"[30.90865332054825, 33.43571488, 35.642604625000004]","[10.610773214176083, 11.275642210498772, 11.784352845004724, 13.28748909862207]",21.039503422609172,"[30.72266034328655, 33.24811706996741, 35.642604625000004]","[13.974983681890869, 14.82200069973619, 15.515690194909801, 19.53132979674415]",16.68760278408632
52,ordinary,True,2.069526941720218,0.10169693404334917,0.49030407655512537,32.07520356639484,3.1472233535022713,217,43,7,0,"[30.97970272281495, 33.6521916860684, 36.32668681]","[11.307762916561817, 12.388113313765674, 13.423574449290768, 16.03634666165539]",28.53084510140408,"[30.7981037518733, 33.6521916860684, 36.32668681]","[14.103637955442148, 15.464253394035481, 16.689517940828306, 22.532522094619612]",20.94694607537751
53,ordinary,True,1.9085392571504753,0.16869235571601401,0.6311268018888877,31.826210014748387,3.110010529726009,217,43,7,0,"[29.6549347637715, 31.835775192944702, 35.1414781440727]","[10.0, 11.1167651848935, 12.787227152666564, 17.20525471019053]",52.490588098912426,"[30.68221255328655, 32.547191500448946, 34.757117675]","[14.07656467515494, 15.592316293932036, 17.235467363488052, 23.765354448060805]",50.41009811240773
54,ordinary,True,1.9379937559101321,0.2133157184310767,0.5107247574723305,31.685019586889336,3.0401574816286008,217,43,7,0,"[31.237345660000003, 33.5885526, 36.067052364999995]","[10.0, 11.747147718079571, 14.017269051067657, 20.712647057217268]",73.1732749900985,"[29.5907377837715, 31.0253201733632, 33.332582615]","[11.398914661691137, 12.58774352641542, 14.59788878480364, 24.183109146372576]",86.80342184134564
55,ordinary,True,2.070957133013763,0.12643626805169683,0.5396119551254067,31.938679848031438,3.035592480210168,217,43,7,0,"[30.802611685000002, 33.173932113621404, 36.116941345]","[11.709423334177254, 12.793386153884626, 14.550112107573021, 17.577770752532807]",40.503763175579735,"[30.6453224487093, 32.92974031004135, 36.116941345]","[14.883238865446858, 16.221215710646224, 18.514446153005, 23.23000909120048]",32.96435298834745
56,ordinary,True,2.1251601213212057,0.1760999545232272,0.4321885602554143,32.17111400816006,3.2531139538392506,217,43,7,0,"[30.787540665, 33.4651615552023, 36.696902405]","[10.873874598612662, 12.513881743274823, 14.578541221999402, 18.54482210900476]",59.1605352195174,"[30.70173971, 33.24811706996741, 35.78833718]","[13.288226640013457, 15.245884194791993, 17.51258241712805, 23.66869512014975]",53.510790050089405
