seed_index,seed,model,roc_auc,pr_auc,brier
41,20330945,rf_bmi,0.7843039580897502,0.9626226243542335,0.13466135355009848
41,20330945,rf_full,0.8263155615576988,0.9715470716882857,0.11405613162965574
42,20330946,logistic_bmi,0.8171212080013797,0.9678838285394432,0.17303887791927008
42,20330946,logistic_full,0.7916148478467339,0.954996429208337,0.1714426076169282
42,20330946,rf_bmi,0.7839237486391978,0.9602992698908586,0.13330082759378784
42,20330946,rf_full,0.8267048547854509,0.9698828208748429,0.11115766295316992
43,20330947,logistic_bmi,0.8140078692500062,0.9666084136420361,0.173553416890802
43,20330947,logistic_full,0.770895940397533,0.9503780822310987,0.1745307676769141
43,20330947,rf_bmi,0.7952843312899889,0.963953809140083,0.13261066016957493
43,20330947,rf_full,0.8257788331878138,0.9716412455137549,0.11395627863517141
44,20330948,logistic_bmi,0.8165750534502763,0.9688403867707871,0.17408561093922412
44,20330948,logistic_full,0.763213884684371,0.9462019402780998,0.1801938580485627
44,20330948,rf_bmi,0.788101218656187,0.9602502517864487,0.13392710272403663
44,20330948,rf_full,0.8202020787952234,0.9698172469523149,0.11699469986415188
45,20330949,logistic_bmi,0.8122350623729221,0.9674624563106163,0.17346810720775802
45,20330949,logistic_full,0.7764273766111892,0.9528705830712986,0.17275975812033026
45,20330949,rf_bmi,0.7789523242686925,0.9615563373692653,0.13463180818172074
45,20330949,rf_full,0.8118141471269806,0.9687347902893817,0.11898750858475107
46,20330950,logistic_bmi,0.8142171788124443,0.968401662770174,0.1732101769770185
46,20330950,logistic_full,0.780552217116376,0.9561751628036452,0.1745040580409763
46,20330950,rf_bmi,0.7918065739557453,0.9632541576635231,0.135520069090129
46,20330950,rf_full,0.8189763126914088,0.9707457507247663,0.11914498838775844
47,20330951,logistic_bmi,0.8105224380374628,0.9672280386206606,0.17476142722667998
47,20330951,logistic_full,0.7654100640597657,0.9496878316037939,0.1748093369027573
47,20330951,rf_bmi,0.7447266256386104,0.9444841828762318,0.14303243103685068
47,20330951,rf_full,0.8050300358819292,0.9657168873615429,0.11625470269049817
48,20330952,logistic_bmi,0.8131467432846031,0.9677882170131579,0.17298418075113264
48,20330952,logistic_full,0.7637386893378431,0.9488488757348781,0.17876293009398292
48,20330952,rf_bmi,0.7675989925265307,0.9589015020338245,0.13534698214195778
48,20330952,rf_full,0.8013008935737838,0.9653012509668503,0.11735505013814564
49,20330953,logistic_bmi,0.8097199638663074,0.9675615227064864,0.1748957838011398
49,20330953,logistic_full,0.7697726538023483,0.9526604922745538,0.17382525864668916
49,20330953,rf_bmi,0.7679411347067782,0.9573908286840846,0.13381895703201035
49,20330953,rf_full,0.8125695709576966,0.9704801759178423,0.11764085860449874
50,20330954,logistic_bmi,0.8213727782762797,0.9696700097489303,0.17196819581870026
50,20330954,logistic_full,0.764224339084716,0.9461977205149399,0.17184917933075378
50,20330954,rf_bmi,0.7730173749898055,0.9604264093631895,0.1327879050487207
50,20330954,rf_full,0.8072749574764443,0.9616678875901727,0.11441924815365097
51,20330955,logistic_bmi,0.8119681886525313,0.9647763807303239,0.17384284453445667
51,20330955,logistic_full,0.7646800184092534,0.9522274887827655,0.17512683523511371
51,20330955,rf_bmi,0.7718258492878519,0.9551263258447615,0.1379146553976016
51,20330955,rf_full,0.8284186876056817,0.9721385078013611,0.11001101832985151
52,20330956,logistic_bmi,0.8184664932491039,0.9693113372193732,0.17390365237145705
52,20330956,logistic_full,0.7831977916954962,0.953566815078867,0.17532720580280312
52,20330956,rf_bmi,0.7456794151739382,0.9507555853879468,0.1389830973546871
52,20330956,rf_full,0.8186577561056197,0.9690509071274529,0.11261193057353688
53,20330957,logistic_bmi,0.8124447344807916,0.9681536651918903,0.1750286886700622
53,20330957,logistic_full,0.7812752132723874,0.955093108719802,0.1688411965844808
53,20330957,rf_bmi,0.7646519614211397,0.9589734315441005,0.14124005032390316
53,20330957,rf_full,0.8310539497814176,0.9726888818386128,0.11312063607483944
54,20330958,logistic_bmi,0.8143901129832575,0.9687981347421796,0.17447330043491466
54,20330958,logistic_full,0.7962612703793354,0.9576916247570386,0.16932337120722116
54,20330958,rf_bmi,0.7755549311717589,0.9603672211395662,0.13692657153017831
54,20330958,rf_full,0.8173171436656792,0.9695160851718498,0.11726972308695567
55,20330959,logistic_bmi,0.8147439573243764,0.967539783099627,0.17240517199306776
55,20330959,logistic_full,0.7874494022532219,0.9553975845040031,0.17252715691479587
55,20330959,rf_bmi,0.7307204482672864,0.9439253584265467,0.13849141589057026
55,20330959,rf_full,0.8080286491456538,0.963947834135025,0.11271015210317295
56,20330960,logistic_bmi,0.8180085178035005,0.9687224465902569,0.173825012886442
56,20330960,logistic_full,0.7629666689829312,0.947492660598228,0.18388830431726294
56,20330960,rf_bmi,0.7464137308039764,0.949366515168809,0.1435092122052687
56,20330960,rf_full,0.7970335727140275,0.9654676017166239,0.12137327723225141
57,20330961,logistic_bmi,0.8183733996388664,0.9684487395903227,0.1740765405499809
57,20330961,logistic_full,0.7772737993452047,0.9536400267496447,0.17830484006794195
57,20330961,rf_bmi,0.7668489867358742,0.9523872973922834,0.13474698948077873
57,20330961,rf_full,0.8172881400311609,0.9690139234628771,0.11541032274411445
58,20330962,logistic_bmi,0.8094155465523459,0.9641709465360663,0.17366449486828278
58,20330962,logistic_full,0.7825674057558135,0.9548859572220981,0.17296258942066686
58,20330962,rf_bmi,0.7657286005041413,0.9571363535581643,0.14220045474089238
58,20330962,rf_full,0.7967889753962596,0.96611976979102,0.11881690441783178
59,20330963,logistic_bmi,0.8155573884241276,0.9670213066149806,0.17307886661421562
59,20330963,logistic_full,0.7689449222994666,0.9487943081360508,0.17060570723147425
59,20330963,rf_bmi,0.7709643003527789,0.959800737649541,0.13518746840313553
59,20330963,rf_full,0.818588550211034,0.9699700023787312,0.11177162533078067
60,20330964,logistic_bmi,0.8087773054616483,0.966480316452319,0.1743040455458821
60,20330964,logistic_full,0.7859431871167487,0.9532685846139375,0.17271337566856942
60,20330964,rf_bmi,0.7807917790809293,0.9600623631949328,0.1342214198451023
60,20330964,rf_full,0.833080619026185,0.9711880916829243,0.10999614730091516
61,20330965,logistic_bmi,0.8158345342650771,0.9686237925432125,0.17378411375613484
61,20330965,logistic_full,0.7811285435039432,0.9539066779298289,0.1740871459398809
61,20330965,rf_bmi,0.7686853397705307,0.9568238195511343,0.13311586895096672
61,20330965,rf_full,0.8205165668156147,0.96946138671659,0.10943921671925956
62,20330966,logistic_bmi,0.8100663156018425,0.966639227688906,0.17395815685831467
62,20330966,logistic_full,0.7573375871997315,0.9482260833242466,0.17890497014464962
62,20330966,rf_bmi,0.7496601035872883,0.9537319659169307,0.13683097168652536
62,20330966,rf_full,0.8049797830568444,0.9673178339276511,0.11804833288088144
63,20330967,logistic_bmi,0.8168868828041701,0.9681546868530249,0.17317455013229088
63,20330967,logistic_full,0.7728564652424694,0.9516397390996201,0.17535354046532786
63,20330967,rf_bmi,0.7918302602572681,0.9630780592642202,0.13150811223673853
63,20330967,rf_full,0.8455341351629815,0.9761234402971377,0.11002513684350089
64,20330968,logistic_bmi,0.8198361093235625,0.9691837830692198,0.17323269987192294
64,20330968,logistic_full,0.7840255634812037,0.9574626390669116,0.1728747319963677
64,20330968,rf_bmi,0.7853273432771507,0.962138177056737,0.1341862734560667
64,20330968,rf_full,0.8230852817632621,0.9689166236476938,0.11337764321458148
65,20330969,logistic_bmi,0.7997054116955162,0.9647257042694519,0.17585382019040388
65,20330969,logistic_full,0.7671890342091847,0.948051657108042,0.17751749566909872
65,20330969,rf_bmi,0.7549995115707402,0.9564609361090739,0.14036077343014794
65,20330969,rf_full,0.8015404152555112,0.9669597090035872,0.11864477115167422
66,20330970,logistic_bmi,0.8127253849275784,0.9646753304677793,0.1731878420890144
66,20330970,logistic_full,0.7839632459498158,0.9517672272977291,0.17536394555775964
66,20330970,rf_bmi,0.7720578783639955,0.9586740044661213,0.1346520289968651
66,20330970,rf_full,0.798798403591619,0.9626206881131737,0.10930538312184263
67,20330971,logistic_bmi,0.8144431654647298,0.9673207684390358,0.1737072851473203
67,20330971,logistic_full,0.7687894305921898,0.9505850791382564,0.1771958122015953
67,20330971,rf_bmi,0.7886345632687115,0.9597228514276714,0.13251128479899896
67,20330971,rf_full,0.8086033642201922,0.9657759355461479,0.11541980447503492
68,20330972,logistic_bmi,0.8167120553405479,0.9668581276515924,0.17266010743160384
68,20330972,logistic_full,0.7443230521491412,0.9429552665219842,0.17790341859999473
68,20330972,rf_bmi,0.777119435557048,0.9616213764479481,0.13632433041966432
68,20330972,rf_full,0.8134221166812211,0.968125203597253,0.11358413996169836
69,20330973,logistic_bmi,0.8155867948869029,0.9676345216710819,0.17392493466908326
69,20330973,logistic_full,0.7730677486633676,0.9518085360669791,0.17490181168557756
69,20330973,rf_bmi,0.7762813513679565,0.958917640969114,0.13602283071148472
69,20330973,rf_full,0.8129902445066837,0.9685283705331363,0.11487737015648918
70,20330974,logistic_bmi,0.8004268368213243,0.9641993601460066,0.17616057317705902
70,20330974,logistic_full,0.769031731788892,0.9524585542269659,0.1754492573832323
70,20330974,rf_bmi,0.7615775963036497,0.956325680433282,0.138027837632543
70,20330974,rf_full,0.8240807912352651,0.9696677584044837,0.11386519587884837
71,20330975,logistic_bmi,0.814187329238586,0.9678300823676191,0.17306374401278138
71,20330975,logistic_full,0.765868361767975,0.9487549380525829,0.17294609036290745
71,20330975,rf_bmi,0.7996352994373517,0.9642431186948909,0.1343371645241519
71,20330975,rf_full,0.8171064644871665,0.9689291851721253,0.11356782730466701
72,20330976,logistic_bmi,0.8142075109342716,0.9681710274628141,0.17398241814075052
72,20330976,logistic_full,0.7814639383108829,0.9526544146388171,0.17417189504510425
72,20330976,rf_bmi,0.7901603357170716,0.9634595327970793,0.13574952428953088
72,20330976,rf_full,0.8208263618868096,0.9696517780600853,0.11664697695671293
73,20330977,logistic_bmi,0.8192143841914098,0.9689644398178295,0.172950273959882
73,20330977,logistic_full,0.7836026340939758,0.9526609947055331,0.17384188620759017
73,20330977,rf_bmi,0.7907443964071765,0.963307163239062,0.1322049483797596
73,20330977,rf_full,0.8188804798490222,0.9704030294763653,0.1138777872669365
74,20330978,logistic_bmi,0.8126955353537204,0.9668670828957624,0.17484344960369108
74,20330978,logistic_full,0.7874516580914621,0.9538361978322942,0.17173959958584806
74,20330978,rf_bmi,0.8004094950648523,0.9652092210451718,0.13202601366408948
74,20330978,rf_full,0.806895775237948,0.966991642089741,0.11700045465141505
75,20330979,logistic_bmi,0.8038700516325138,0.9651131062745594,0.17591445454744495
75,20330979,logistic_full,0.775754572856024,0.9516422198456439,0.17584921184092778
75,20330979,rf_bmi,0.7737487298321535,0.9593024453534298,0.13541143827810448
75,20330979,rf_full,0.825184097548893,0.9720539077632676,0.11557853675717511
76,20330980,logistic_bmi,0.8136010529930663,0.9672196702769381,0.17373892279276873
76,20330980,logistic_full,0.7714542603620036,0.9518076588328335,0.1739880192398374
76,20330980,rf_bmi,0.7792709815615455,0.9606591855787732,0.13803898935247386
76,20330980,rf_full,0.8267419955507642,0.97030773302057,0.11387557917927867
77,20330981,logistic_bmi,0.8124513408642094,0.9673101588890802,0.17359640643479782
77,20330981,logistic_full,0.7873781822173501,0.9580575672660381,0.17122568559661033
77,20330981,rf_bmi,0.7692239211503987,0.9516772252989776,0.13385625481912014
77,20330981,rf_full,0.8337497167613838,0.972009985207692,0.10868167340299875
78,20330982,logistic_bmi,0.8092697227232417,0.9673650124070414,0.17365350905297236
78,20330982,logistic_full,0.7429485215699447,0.9428865438530815,0.1861615268823175
