target,variant,replicate,scope,mode,precision_w,recall_w,specificity_w,f1_w,accuracy_w,precision_raw,recall_raw,n,positive,predicted_positive,coverage_w,retest_rate_w,qc_fail_rate_w,negative_clear_rate_w,positive_call_rate_w,positive_precision_w,positive_recall_all_w,negative_npv_w,false_negative_clear_rate_w,followup_recall_w,followup_precision_w,negative_specific_clear_w,retest_records,negative_records,positive_call_records
ANY,group_class_weighted,37,overall_qcfail_negative,low,0.2985074626865672,0.06072874493927121,0.9819969356486211,0.10092514718250625,0.8787981859410428,0.1,0.015384615384615385,616.0,65.0,10.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,37,overall_qcfail_negative,high,0.46153846153846156,0.06072874493927121,0.9910623084780388,0.10733452593917704,0.886848072562358,0.2,0.015384615384615385,616.0,65.0,5.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,37,overall,three_way,,,,,,,,,,,0.7996598639455781,0.20034013605442175,0.19229024943310657,0.7849206349206348,0.01473922902494331,0.46153846153846156,0.06072874493927126,0.8975877509750109,0.7176113360323887,0.28238866396761136,0.147074327886136,0.7934116445352399,137.0,474.0,5.0
ANY,group_class_weighted,38,overall_qcfail_negative,low,0.0,0.0,0.9777750491159134,0.0,0.9028344671201807,0.0,0.0,624.0,48.0,11.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,38,overall_qcfail_negative,high,0.0,0.0,0.9901768172888016,0.0,0.9142857142857137,0.0,0.0,624.0,48.0,4.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,38,overall,three_way,,,,,,,,,,,0.804875283446712,0.19512471655328795,0.18367346938775508,0.7958049886621313,0.009070294784580497,0.0,0.0,0.9273400769340362,0.7544378698224854,0.24556213017751483,0.09217101610216547,0.799238703339882,122.0,498.0,4.0
ANY,group_class_weighted,39,overall_qcfail_negative,low,0.5504587155963303,0.12036108324974928,0.9874728365077337,0.19753086419753094,0.8894557823129253,0.2222222222222222,0.031746031746031744,593.0,63.0,9.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,39,overall_qcfail_negative,high,0.8,0.12036108324974928,0.9961651540329797,0.20924149956408028,0.8971655328798187,0.5,0.031746031746031744,593.0,63.0,4.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,39,overall,three_way,,,,,,,,,,,0.8105442176870747,0.18945578231292515,0.18174603174603174,0.7935374149659864,0.017006802721088437,0.8,0.12036108324974926,0.9112730390055722,0.6228686058174523,0.37713139418254765,0.2064799560680945,0.8152882525885208,114.0,475.0,4.0
ANY,group_class_weighted,40,overall_qcfail_negative,low,0.10067114093959731,0.016949152542372888,0.9831127914303717,0.029013539651837533,0.8861678004535145,0.1,0.015873015873015872,615.0,63.0,10.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,40,overall_qcfail_negative,high,0.23076923076923078,0.016949152542372888,0.9936988027725268,0.03157894736842107,0.8956916099773241,0.25,0.015873015873015872,615.0,63.0,4.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,40,overall,three_way,,,,,,,,,,,0.8250566893424036,0.17494331065759638,0.16541950113378687,0.817687074829932,0.0073696145124716545,0.23076923076923078,0.016949152542372888,0.8964226289517472,0.8440677966101694,0.15593220338983058,0.08582089552238806,0.8147448015122875,112.0,499.0,4.0
ANY,group_class_weighted,41,overall_qcfail_negative,low,0.6666666666666666,0.023437500000000035,0.9980106100795755,0.04528301886792459,0.8565759637188204,0.6666666666666666,0.022222222222222223,605.0,90.0,3.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,41,overall_qcfail_negative,high,1.0,0.023437500000000035,1.0,0.04580152671755732,0.8582766439909293,1.0,0.022222222222222223,605.0,90.0,2.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,41,overall,three_way,,,,,,,,,,,0.8109977324263038,0.18900226757369612,0.18730158730158727,0.8075963718820861,0.0034013605442176865,1.0,0.0234375,0.8556787870279376,0.8031250000000001,0.19687500000000002,0.1484973482616382,0.8083554376657823,108.0,495.0,2.0
ANY,group_class_weighted,42,overall_qcfail_negative,low,0.8,0.13683010262257692,0.9962230895127786,0.23369036027263868,0.910770975056689,0.5,0.03636363636363636,602.0,55.0,4.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,42,overall_qcfail_negative,high,0.888888888888889,0.13683010262257692,0.9981115447563893,0.23715415019762837,0.9124716553287978,0.6666666666666666,0.03636363636363636,602.0,55.0,3.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,42,overall,three_way,,,,,,,,,,,0.8163643235071806,0.1836356764928193,0.1819349962207105,0.8010582010582009,0.015306122448979591,0.888888888888889,0.13683010262257694,0.9177675033025099,0.66248574686431,0.3375142531356899,0.16869300911854107,0.816358218976877,107.0,492.0,3.0
ANY,group_class_weighted,43,overall_qcfail_negative,low,0.6185567010309279,0.13143483023001098,0.9906412039964587,0.21680216802168026,0.9017006802721087,0.2857142857142857,0.03508771929824561,594.0,57.0,7.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,43,overall_qcfail_negative,high,1.0,0.13143483023001098,1.0,0.23233301064859638,0.9100907029478457,1.0,0.03508771929824561,594.0,57.0,2.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,43,overall,three_way,,,,,,,,,,,0.8054799697656841,0.19452003023431594,0.186130007558579,0.7918745275888134,0.013605442176870753,1.0,0.13143483023001096,0.9176728869374313,0.6297918948521357,0.3702081051478642,0.1841292899945524,0.8105897727751781,123.0,469.0,2.0
ANY,group_class_weighted,44,overall_qcfail_negative,low,0.0,0.0,0.9838426853707414,0.0,0.8905895691609972,0.0,0.0,622.0,58.0,8.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,44,overall_qcfail_negative,high,0.0,0.0,0.9931112224448897,0.0,0.8989795918367341,0.0,0.0,622.0,58.0,3.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,44,overall,three_way,,,,,,,,,,,0.7892668178382463,0.21073318216175357,0.20234315948601664,0.7830309901738471,0.006235827664399093,0.0,0.0,0.9102273275737246,0.7416267942583732,0.2583732057416267,0.11287232189514022,0.7873663994655978,136.0,483.0,3.0
ANY,group_class_weighted,45,overall_qcfail_negative,low,0.7846153846153846,0.16612377850162863,0.9903912148249828,0.27419354838709675,0.8469387755102037,0.5555555555555556,0.052083333333333336,621.0,96.0,9.0,,,,,,,,,,,,,,,
