target,variant,seed,scope,mode,precision_w,recall_w,specificity_w,f1_w,accuracy_w,precision_raw,recall_raw,n,positive,predicted_positive,coverage_w,retest_rate_w,qc_fail_rate_w,negative_clear_rate_w,positive_call_rate_w,positive_precision_w,positive_recall_all_w,negative_npv_w,false_negative_clear_rate_w,followup_recall_w,followup_precision_w,negative_specific_clear_w,retest_records,negative_records,positive_call_records
T13,group_class_weighted,20360827,overall_qcfail_negative,low,0.111111111111111,0.0405405405405405,0.9857988165680474,0.0594059405940593,0.9461451247165532,0.1111111111111111,0.0434782608695652,605.0,23.0,9.0,,,,,,,,,,,,,,,
T13,group_class_weighted,20360827,overall_qcfail_negative,high,0.1666666666666666,0.0405405405405405,0.9911242603550297,0.0652173913043478,0.9512471655328796,0.1666666666666666,0.0434782608695652,605.0,23.0,6.0,,,,,,,,,,,,,,,
T13,group_class_weighted,20360827,qc_pass,low,0.096774193548387,0.0490196078431372,0.9834397918145256,0.0650759219088937,0.9507990867579904,0.1111111111111111,0.0588235294117647,503.0,17.0,9.0,,,,,,,,,,,,,,,
T13,group_class_weighted,20360827,qc_pass,high,0.1363636363636363,0.0490196078431372,0.9887627158741424,0.0721153846153846,0.9559360730593603,0.1666666666666666,0.0588235294117647,503.0,17.0,6.0,,,,,,,,,,,,,,,
T13,group_class_weighted,20360827,overall,three_way,,,,,,,,,,,0.8339380196523056,0.1660619803476946,0.1609599395313681,0.8237339380196526,0.010204081632653,0.1666666666666666,0.0405405405405405,0.963112497706001,0.7243243243243243,0.2756756756756756,0.0656089193825042,0.8280867850098619,105.0,494.0,6.0
T18,group_class_weighted,20360827,overall_qcfail_negative,low,0.5577689243027888,0.0867052023121387,0.9941472159730032,0.1500804002144005,0.9229510851959828,0.2,0.0217391304347826,605.0,46.0,5.0,,,,,,,,,,,,,,,
T18,group_class_weighted,20360827,overall_qcfail_negative,high,0.7446808510638299,0.0867052023121387,0.9974690663667042,0.1553254437869821,0.9260123096857787,0.3333333333333333,0.0217391304347826,605.0,46.0,3.0,,,,,,,,,,,,,,,
T18,group_class_weighted,20360827,qc_pass,low,0.5426356589147286,0.0899550224887556,0.9937512135708108,0.1543266580929634,0.9249347684279192,0.2,0.0256410256410256,501.0,39.0,5.0,,,,,,,,,,,,,,,
T18,group_class_weighted,20360827,qc_pass,high,0.717948717948718,0.0899550224887556,0.9970874300541914,0.1598781880472021,0.9280169602087412,0.3333333333333333,0.0256410256410256,501.0,39.0,3.0,,,,,,,,,,,,,,,
T18,group_class_weighted,20360827,overall,three_way,,,,,,,,,,,0.8334845049130765,0.1665154950869237,0.1634542705971277,0.8243494223086062,0.0091350826044703,0.7446808510638299,0.0867052023121387,0.9262800780687164,0.7745664739884393,0.2254335260115606,0.1006946578963545,0.8285878327709036,106.0,496.0,3.0
T21,group_class_weighted,20360827,overall_qcfail_negative,low,0.0,0.0,0.9916376306620208,0.0,0.9680272108843536,0.0,0.0,605.0,13.0,5.0,,,,,,,,,,,,,,,
T21,group_class_weighted,20360827,overall_qcfail_negative,high,0.0,0.0,0.9965156794425089,0.0,0.9727891156462584,0.0,0.0,605.0,13.0,2.0,,,,,,,,,,,,,,,
T21,group_class_weighted,20360827,qc_pass,low,0.0,0.0,0.9900816802800466,0.0,0.9686073059360728,0.0,0.0,500.0,10.0,5.0,,,,,,,,,,,,,,,
T21,group_class_weighted,20360827,qc_pass,high,0.0,0.0,0.9959159859976664,0.0,0.9743150684931506,0.0,0.0,500.0,10.0,2.0,,,,,,,,,,,,,,,
T21,group_class_weighted,20360827,overall,three_way,,,,,,,,,,,0.8289493575207864,0.1710506424792139,0.1662887377173091,0.8255479969765684,0.0034013605442176,0.0,0.0,0.978026002563633,0.7619047619047619,0.238095238095238,0.0324956672443674,0.82710027100271,108.0,495.0,2.0
ANY,group_class_weighted,20360827,overall_qcfail_negative,low,0.2503576537911302,0.0741106719367589,0.9712382903981264,0.1143666267291144,0.8683025591188851,0.1111111111111111,0.0298507462686567,605.0,67.0,18.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,20360827,overall_qcfail_negative,high,0.4041570438799076,0.0741106719367589,0.9858387002341918,0.1252534892043421,0.8812277291869122,0.2,0.0298507462686567,605.0,67.0,10.0,,,,,,,,,,,,,,,
ANY,group_class_weighted,20360827,qc_pass,low,0.2376641014033499,0.0779625779625779,0.9691495987982266,0.117410265011741,0.8712818003913891,0.1176470588235294,0.037037037037037,489.0,54.0,17.0,,,,,,,,,,,,,,,
