target,variant,seed,outer_fold,best_c,candidate_objectives,outer_train_records,outer_test_records,outer_train_women,outer_test_women,outer_train_qc_pass,outer_test_qc_pass
T18,group_class_weighted,20360827,1,0.03,"{""0.03"": 0.4166290276440142, ""0.1"": 0.41004498445626125, ""0.3"": 0.4017017614343655, ""1.0"": 0.3941787247779689, ""3.0"": 0.3801599224516002, ""10.0"": 0.36869654846686084}",454,151,109,38,376,126
T18,group_class_weighted,20360827,2,0.1,"{""0.03"": 0.3484944905932044, ""0.1"": 0.3767716368252376, ""0.3"": 0.37386370506851885, ""1.0"": 0.36857496904562337, ""3.0"": 0.3692934402180291, ""10.0"": 0.36493053072951853}",454,151,111,36,379,132
T18,group_class_weighted,20360827,3,0.1,"{""0.03"": 0.24972407843138117, ""0.1"": 0.2544973166066486, ""0.3"": 0.25431970626340117, ""1.0"": 0.2507168022374322, ""3.0"": 0.24770408677463793, ""10.0"": 0.24574034921619814}",454,151,111,36,381,128
T21,group_class_weighted,20360827,0,3.0,"{""0.03"": 0.23376296528946064, ""0.1"": 0.23546188496090537, ""0.3"": 0.23578356502360556, ""1.0"": 0.2349774673905928, ""3.0"": 0.23613029059420915, ""10.0"": 0.2332896490428599}",455,150,110,37,377,108
T21,group_class_weighted,20360827,1,0.03,"{""0.03"": 0.09437491369048492, ""0.1"": 0.09117693324085942, ""0.3"": 0.09134998431475999, ""1.0"": 0.09090960859422037, ""3.0"": 0.09152320924249892, ""10.0"": 0.09363439552710552}",453,152,110,37,377,128
T21,group_class_weighted,20360827,2,0.03,"{""0.03"": 0.13903279772581648, ""0.1"": 0.13182575765361507, ""0.3"": 0.13022901474786155, ""1.0"": 0.12875484584943012, ""3.0"": 0.128004005443084, ""10.0"": 0.12699505545816925}",452,153,110,37,378,140
T21,group_class_weighted,20360827,3,10.0,"{""0.03"": 0.08525645677032785, ""0.1"": 0.08782031945760813, ""0.3"": 0.08969937894371786, ""1.0"": 0.09324586674783175, ""3.0"": 0.09751727496253809, ""10.0"": 0.10319031335428824}",455,150,111,36,382,124
T13,unweighted,20460830,0,0.03,"{""0.03"": 0.26834888005201984, ""0.1"": 0.24256896555762875, ""0.3"": 0.23712785955982357, ""1.0"": 0.23469851627715338, ""3.0"": 0.2326464431832342, ""10.0"": 0.23140257270420542}",453,152,112,35,374,118
T13,unweighted,20460830,1,3.0,"{""0.03"": 0.182218121705632, ""0.1"": 0.23249042793419356, ""0.3"": 0.25284775032921386, ""1.0"": 0.26091092201980215, ""3.0"": 0.2628271931321549, ""10.0"": 0.23655929173989182}",456,149,109,38,378,118
T13,unweighted,20460830,2,1.0,"{""0.03"": 0.16914634166175133, ""0.1"": 0.1828194712409788, ""0.3"": 0.18343492858727362, ""1.0"": 0.1857387395358295, ""3.0"": 0.18394051487162774, ""10.0"": 0.18286417190862425}",455,150,110,37,382,134
T13,unweighted,20460830,3,0.03,"{""0.03"": 0.21788195905291208, ""0.1"": 0.21176433492994104, ""0.3"": 0.20941577336993572, ""1.0"": 0.20728723749192682, ""3.0"": 0.18386130469185197, ""10.0"": 0.18654209686136122}",451,154,110,37,378,126
T18,unweighted,20460830,0,0.03,"{""0.03"": 0.3666312721253733, ""0.1"": 0.3628030161661983, ""0.3"": 0.36098768154021266, ""1.0"": 0.3594165766968521, ""3.0"": 0.35795552364315475, ""10.0"": 0.3530306828945522}",452,153,111,36,375,118
T18,unweighted,20460830,1,0.3,"{""0.03"": 0.2751115580695391, ""0.1"": 0.2795192175779569, ""0.3"": 0.28136961907886915, ""1.0"": 0.28088530540800744, ""3.0"": 0.2785254768835949, ""10.0"": 0.2750680305554743}",453,152,111,36,379,137
T18,unweighted,20460830,2,0.03,"{""0.03"": 0.20392010485662398, ""0.1"": 0.20110099298443104, ""0.3"": 0.20166432904383688, ""1.0"": 0.20045102643116258, ""3.0"": 0.20283267745864922, ""10.0"": 0.2013038681757312}",454,151,107,40,378,130
T18,unweighted,20460830,3,3.0,"{""0.03"": 0.2685040140466625, ""0.1"": 0.27161039950000476, ""0.3"": 0.272169579557843, ""1.0"": 0.27303108514299246, ""3.0"": 0.2741298084167238, ""10.0"": 0.27321048454297336}",456,149,112,35,381,120
T21,unweighted,20460830,0,10.0,"{""0.03"": 0.16857667922011993, ""0.1"": 0.17824064716316348, ""0.3"": 0.1823053005831679, ""1.0"": 0.18625379110133009, ""3.0"": 0.18647337798401523, ""10.0"": 0.18665639080907465}",454,151,111,36,377,117
T21,unweighted,20460830,1,0.03,"{""0.03"": 0.0918209930962289, ""0.1"": 0.08719925793204628, ""0.3"": 0.08354659531102546, ""1.0"": 0.08245391439615439, ""3.0"": 0.08312892317440083, ""10.0"": 0.08617646959430278}",452,153,110,37,379,123
