target,variant,seed,scope,pr_auc_w,roc_auc_w
T13,unweighted,21260854,qc_pass,0.09465625471521028,0.4028247999775561
T18,unweighted,21260854,overall,0.14984225157522382,0.5901042479426348
T18,unweighted,21260854,qc_pass,0.13113412748921116,0.5853680697821282
T21,unweighted,21260854,overall,0.07332648984272068,0.4150143138943554
T21,unweighted,21260854,qc_pass,0.017131407175229457,0.362149104539777
ANY,unweighted,21260854,overall,0.2108403141300419,0.5703369010303371
ANY,unweighted,21260854,qc_pass,0.2165533143179195,0.5631599468452689
T13,group_class_weighted,21260854,overall,0.08849540816942275,0.3883517397363565
T13,group_class_weighted,21260854,qc_pass,0.046316609392503774,0.3853966000878694
T18,group_class_weighted,21260854,overall,0.16676435079917012,0.6060491366053959
T18,group_class_weighted,21260854,qc_pass,0.14049145506778937,0.6063585062399033
T21,group_class_weighted,21260854,overall,0.11216500433189293,0.3575866273725925
T21,group_class_weighted,21260854,qc_pass,0.01585285146801857,0.31974695228339756
ANY,group_class_weighted,21260854,overall,0.19503879565971055,0.5361693537811679
ANY,group_class_weighted,21260854,qc_pass,0.1833593590516368,0.5244191392622389
T13,unweighted,21360857,overall,0.13024052110850529,0.3889579249579258
T13,unweighted,21360857,qc_pass,0.09607900574260866,0.37439456501786816
T18,unweighted,21360857,overall,0.11908337388232376,0.5202224005100888
T18,unweighted,21360857,qc_pass,0.08442941973885051,0.4924051591568238
T21,unweighted,21360857,overall,0.026311276735607292,0.46523777919995
T21,unweighted,21360857,qc_pass,0.047432659377618466,0.5412031597146576
ANY,unweighted,21360857,overall,0.13924466556960674,0.49912796298053386
ANY,unweighted,21360857,qc_pass,0.13244656856362608,0.5074630787235035
T13,group_class_weighted,21360857,overall,0.1190027754589582,0.4108586050124521
T13,group_class_weighted,21360857,qc_pass,0.0830980796818028,0.40069170953611233
T18,group_class_weighted,21360857,overall,0.13612333109563463,0.5687905567078692
T18,group_class_weighted,21360857,qc_pass,0.10313358553269403,0.5535378652934435
T21,group_class_weighted,21360857,overall,0.027786783440037526,0.49766790184908805
T21,group_class_weighted,21360857,qc_pass,0.03564590531182749,0.5504566679631914
ANY,group_class_weighted,21360857,overall,0.12588807999877683,0.5186307742395702
ANY,group_class_weighted,21360857,qc_pass,0.12938042469499508,0.5214365305470081
T13,unweighted,21460860,overall,0.13826961374489405,0.4254288455826928
T13,unweighted,21460860,qc_pass,0.08866930303267888,0.42680012930190014
T18,unweighted,21460860,overall,0.16492811828777745,0.6159856062293159
T18,unweighted,21460860,qc_pass,0.12394645961846698,0.5999414076956214
T21,unweighted,21460860,overall,0.02195386634620053,0.4254363301650518
T21,unweighted,21460860,qc_pass,0.024244834168804658,0.4807307501980404
ANY,unweighted,21460860,overall,0.17238010635805906,0.5568301925006868
ANY,unweighted,21460860,qc_pass,0.17763121445390756,0.5684527602327025
T13,group_class_weighted,21460860,overall,0.12461856214051543,0.46204027019411753
T13,group_class_weighted,21460860,qc_pass,0.11969041323165447,0.5060294319793975
T18,group_class_weighted,21460860,overall,0.1602957527789151,0.614213434551715
T18,group_class_weighted,21460860,qc_pass,0.12382184731107909,0.5935078454601437
T21,group_class_weighted,21460860,overall,0.1089593281406704,0.5573623719716319
T21,group_class_weighted,21460860,qc_pass,0.02169834476989544,0.4362585198866913
ANY,group_class_weighted,21460860,overall,0.18843583803617997,0.5876425890388718
ANY,group_class_weighted,21460860,qc_pass,0.13810177195099882,0.5512917189629155
T13,unweighted,21560863,overall,0.12708608840428806,0.44175265206034564
T13,unweighted,21560863,qc_pass,0.08777060531549888,0.45038498010985933
T18,unweighted,21560863,overall,0.13000290317444121,0.5265581161774949
T18,unweighted,21560863,qc_pass,0.10056803934916612,0.49341824090987485
T21,unweighted,21560863,overall,0.03053612826622013,0.45931522434758026
T21,unweighted,21560863,qc_pass,0.06321886752767703,0.46742731069261767
ANY,unweighted,21560863,overall,0.16413543978403655,0.5128768015662177
ANY,unweighted,21560863,qc_pass,0.1460118691540096,0.522475741270285
T13,group_class_weighted,21560863,overall,0.1367916436662618,0.4774973841127699
T13,group_class_weighted,21560863,qc_pass,0.11454825523497145,0.5063654749810986
T18,group_class_weighted,21560863,overall,0.09851182782972744,0.5238592799409838
T18,group_class_weighted,21560863,qc_pass,0.08544732964919134,0.5071413677942561
T21,group_class_weighted,21560863,overall,0.12388679402859067,0.45234566145467303
T21,group_class_weighted,21560863,qc_pass,0.03737394060323996,0.44873599963979094
ANY,group_class_weighted,21560863,overall,0.16439669971998955,0.5377415117439289
ANY,group_class_weighted,21560863,qc_pass,0.15338573834483565,0.5314341256127142
T13,unweighted,21660866,overall,0.12670898674528047,0.4085774142697227
T13,unweighted,21660866,qc_pass,0.08703571965181588,0.4133418219364917
T18,unweighted,21660866,overall,0.16392590734660295,0.5636944604061421
T18,unweighted,21660866,qc_pass,0.14196383475637434,0.543580957045794
T21,unweighted,21660866,overall,0.025419928618744682,0.4697182783295287
T21,unweighted,21660866,qc_pass,0.033497096259196425,0.5748176998322783
ANY,unweighted,21660866,overall,0.15389328138804664,0.49829128304799863
ANY,unweighted,21660866,qc_pass,0.13991232359615147,0.49927825058079867
T13,group_class_weighted,21660866,overall,0.1350740503276671,0.3990416181185423
T13,group_class_weighted,21660866,qc_pass,0.11152094944607956,0.40002080444644955
T18,group_class_weighted,21660866,overall,0.1693451273579316,0.5821085806967417
T18,group_class_weighted,21660866,qc_pass,0.17035759846367704,0.5723042611013442
T21,group_class_weighted,21660866,overall,0.0302388450659788,0.4991829097105367
T21,group_class_weighted,21660866,qc_pass,0.024458583050912322,0.5100703535688973
ANY,group_class_weighted,21660866,overall,0.13309049188526534,0.5281941943072671
ANY,group_class_weighted,21660866,qc_pass,0.144823235932106,0.5445301934980958
T13,unweighted,21760869,overall,0.03270197046937419,0.338834921142615
T13,unweighted,21760869,qc_pass,0.03272281295394413,0.40615608591156366
T18,unweighted,21760869,overall,0.164597402404456,0.6060839752102887
T18,unweighted,21760869,qc_pass,0.14683192631239822,0.5817317197961354
T21,unweighted,21760869,overall,0.028002652845954254,0.4307760580035354
T21,unweighted,21760869,qc_pass,0.049774898102220855,0.5485547688463128
ANY,unweighted,21760869,overall,0.1382603317090815,0.5219618553740749
ANY,unweighted,21760869,qc_pass,0.1401307869537332,0.5280929203428284
T13,group_class_weighted,21760869,overall,0.03284045005985724,0.348891823353363
T13,group_class_weighted,21760869,qc_pass,0.03165997332021143,0.40252892969152876
T18,group_class_weighted,21760869,overall,0.1592307881614489,0.6345789569611247
T18,group_class_weighted,21760869,qc_pass,0.16040636999331948,0.6311328810714225
T21,group_class_weighted,21760869,overall,0.025122463232692578,0.43379119359706847
T21,group_class_weighted,21760869,qc_pass,0.03892810263325311,0.5687904814435412
ANY,group_class_weighted,21760869,overall,0.12939562150565198,0.5458486139588022
ANY,group_class_weighted,21760869,qc_pass,0.13622972527383778,0.5671301356337306
T13,unweighted,21860872,overall,0.12043939433471862,0.4148454456146775
T13,unweighted,21860872,qc_pass,0.06812026545749807,0.4157109226401202
T18,unweighted,21860872,overall,0.13639565898268438,0.5682500376578656
T18,unweighted,21860872,qc_pass,0.10665048037485098,0.538252850239016
T21,unweighted,21860872,overall,0.029793814730180307,0.5150286672934764
T21,unweighted,21860872,qc_pass,0.04287225195518651,0.5486448214144998
ANY,unweighted,21860872,overall,0.19523790186224602,0.5467763171470075
ANY,unweighted,21860872,qc_pass,0.18730001357630693,0.5553744564796983
T13,group_class_weighted,21860872,overall,0.12239870287926931,0.396610906764754
T13,group_class_weighted,21860872,qc_pass,0.08992003131252937,0.3987587264399682
T18,group_class_weighted,21860872,overall,0.1230054127333571,0.5765653819103542
T18,group_class_weighted,21860872,qc_pass,0.09140844239563942,0.5416418637515357
T21,group_class_weighted,21860872,overall,0.030724993555296683,0.44966341937472
T21,group_class_weighted,21860872,qc_pass,0.022749986116394158,0.4624352465751871
ANY,group_class_weighted,21860872,overall,0.18891881980821873,0.5629728520729391
ANY,group_class_weighted,21860872,qc_pass,0.20907812092384248,0.5629966791519526
T13,unweighted,21960875,overall,0.13554266070850626,0.417644467798315
