target,track,feature_set,model,roc_auc_w,pr_auc_w,precision_w,recall_w,specificity_w,npv_w,f1_w,balanced_accuracy_w,mcc_w,accuracy_w,brier_w,logloss_w,precision_raw,recall_raw,f1_raw,accuracy_raw,predicted_positive,n,positive,seed,mean_threshold,sd_threshold,mean_inner_f1
ANY,record,engineered,elastic,0.7177671489163606,0.36291657802687144,0.30391357521402435,0.42094861660079075,0.8750365925058542,0.9210060083192108,0.3529829545454551,0.6479926045533224,0.25801718928060585,0.8229348882410109,0.15372808603604715,0.5548283831829077,0.29896907216494845,0.43283582089552236,0.35365853658536583,0.824793388429752,97,605,67,20340014,0.630507951263903,0.10764125876320084,0.4233323785881962
ANY,record,engineered,elastic,0.7349781978089623,0.33505125939629044,0.30842125830402567,0.44565217391304374,0.8704808255269316,0.9237534948741841,0.3645496535796772,0.6580664997199877,0.27092083920670135,0.8217363135730484,0.16892529425138558,0.553571097338569,0.3069306930693069,0.4626865671641791,0.36904761904761907,0.824793388429752,101,605,67,20347933,0.609947718674426,0.08055486094149211,0.42447984845650544
ANY,record,engineered,elastic,0.7634260507400656,0.42379732164693873,0.3260978460510943,0.5513833992094864,0.8523126463700228,0.9361360073952008,0.40982058545797984,0.7018480227897544,0.32536559383767943,0.8177842565597668,0.1583198392660561,0.523909267193603,0.3181818181818182,0.5223880597014925,0.3954802259887006,0.8231404958677686,110,605,67,20355852,0.6222864488675485,0.10202891374104296,0.4185697748577065
ANY,record,engineered,elastic,0.74569053336928,0.42919557455028207,0.30227272727272797,0.5069169960474311,0.8483423594847769,0.9299438427597269,0.378717570132884,0.6776296777661038,0.28722309972150456,0.8091674765144153,0.15997838639027975,0.49704823227904554,0.2807017543859649,0.47761194029850745,0.35359116022099446,0.8066115702479338,114,605,67,20363771,0.6158818419993262,0.10430444626933832,0.4107950507264269
ANY,record,engineered,elastic,0.7395556057115552,0.3828641467559688,0.39234042553191545,0.4555335968379449,0.9085553278688521,0.9279267495094828,0.421582075903064,0.6820444623533984,0.3414758137550973,0.8565759637188208,0.15916652471471174,0.5351079582124619,0.3875,0.4626865671641791,0.4217687074829932,0.859504132231405,80,605,67,20371690,0.6462578401334818,0.08768636580072006,0.40807123841333387
ANY,record,engineered,elastic,0.7693718146681663,0.3844772840161266,0.38320325381994114,0.4920948616600793,0.8973397248243554,0.9316528313355998,0.43087571843520217,0.6947172932422172,0.3501654599252411,0.8508422416585683,0.15524458061147428,0.5148287140334655,0.39080459770114945,0.5074626865671642,0.44155844155844154,0.8578512396694215,87,605,67,20379609,0.6416505581685862,0.05005067466750234,0.43262611609755064
ANY,record,engineered,elastic,0.7463447750722789,0.3973354459519982,0.36301437778879586,0.5167984189723323,0.8824648711943789,0.9337334236763137,0.42646630555070236,0.6996316450833555,0.3442099701674801,0.8405085843861355,0.1614787519089614,0.5281477964198801,0.3645833333333333,0.5223880597014925,0.4294478527607362,0.8462809917355372,96,605,67,20387528,0.6175522069721489,0.10716081112584529,0.4134943576406335
ANY,record,engineered,elastic,0.7471707882170395,0.3590508132300136,0.41549006168608676,0.42786561264822154,0.921984777517564,0.9255579024703825,0.42158703665067143,0.6749251950828927,0.3454211390829857,0.8652899254940073,0.16995038797050246,0.5601449896768057,0.4166666666666667,0.44776119402985076,0.4316546762589928,0.8694214876033057,72,605,67,20395447,0.7264847975114256,0.05817554013061837,0.4299061403592278
ANY,record,engineered,elastic,0.6811477832462444,0.34993185801174753,0.3568361268873808,0.3636363636363638,0.9150504976580791,0.9173162634581167,0.3602041529749006,0.6393434306472214,0.27641032755987227,0.8517816650469714,0.16870737105093436,0.5434173370097187,0.35714285714285715,0.373134328358209,0.36496350364963503,0.856198347107438,70,605,67,20403366,0.6742656382129324,0.05268753096138313,0.4115649095484885
ANY,record,engineered,elastic,0.7619758256117846,0.4096974361732344,0.33238214815660355,0.4110671936758895,0.8929852166276341,0.9212518167575827,0.36756074471442124,0.6520262051517617,0.27770131142469834,0.8376903142209265,0.15990730380137252,0.523177192312144,0.3333333333333333,0.417910447761194,0.3708609271523179,0.8429752066115702,84,605,67,20411285,0.6564822542283448,0.0600274474417923,0.4297465813573242
ANY,record,engineered,elastic,0.7249292279723721,0.3468961488400961,0.3677072120559748,0.48221343873517813,0.892527810304449,0.9300667302192561,0.4172468547697574,0.6873706245198135,0.3340481687716219,0.8454486556527373,0.16131110384824107,0.5320380247319818,0.3707865168539326,0.4925373134328358,0.4230769230769231,0.8512396694214877,89,605,67,20419204,0.6295018984963391,0.0904436383617432,0.386655449810537
ANY,record,engineered,elastic,0.7419394881446068,0.33877980251901224,0.37206196581196616,0.39328063241106737,0.9139710187353625,0.9207771142077706,0.38237716167993435,0.6536258255732148,0.29995881526680457,0.8542274052478134,0.16120076615170234,0.5345970252224401,0.3698630136986301,0.40298507462686567,0.38571428571428573,0.8578512396694215,73,605,67,20427123,0.676641785876889,0.0564562722603202,0.42980451400618486
ANY,record,engineered,elastic,0.7548752643917025,0.3948877311649329,0.3163874606070667,0.538537549407115,0.8491839871194373,0.934201521677871,0.3985999373106266,0.693860768263276,0.3117029760014186,0.813540654356981,0.15963056814428175,0.5323479741799824,0.3008849557522124,0.5074626865671642,0.37777777777777777,0.8148760330578513,113,605,67,20435042,0.5830463167739507,0.12562018769987643,0.38329056598330535
ANY,record,engineered,elastic,0.7149645558913647,0.36095547219038937,0.2965593974666218,0.48913043478260904,0.849623097189695,0.9277009749081025,0.3692455242966759,0.6693767659861518,0.27562473260460774,0.8082604470359573,0.16119436905402865,0.5564094499783042,0.3090909090909091,0.5074626865671642,0.384180790960452,0.8198347107438017,110,605,67,20442961,0.6108192889808961,0.11282647211978647,0.42571709402711955
