target,seed,precision_w_challenger,recall_w_challenger,f1_w_challenger,pr_auc_w_challenger,roc_auc_w_challenger,specificity_w_challenger,accuracy_w_challenger,precision_w_incumbent,recall_w_incumbent,f1_w_incumbent,pr_auc_w_incumbent,roc_auc_w_incumbent,specificity_w_incumbent,accuracy_w_incumbent,delta_precision_w,delta_recall_w,delta_f1_w,delta_pr_auc_w,delta_roc_auc_w,delta_specificity_w,delta_accuracy_w
ANY,20688450,0.3511164888351121,0.45059288537549436,0.39468315301391077,0.4664813761848333,0.785334276880016,0.8920704039812641,0.8414156138645935,0.4446627373935827,0.4792490118577078,0.461308512806577,0.4374158265667036,0.7592862041142512,0.9224238875878216,0.8715743440233237,-0.0935462485584706,-0.02865612648221344,-0.0666253597926662,0.029065549618129738,0.026048072765764818,-0.03035348360655743,-0.030158730158730163
ANY,20696369,0.40826767625089605,0.563241106719368,0.4733938423206982,0.4978204324681922,0.8058313653411213,0.8941927693208426,0.8562196307094267,0.4310421947219324,0.4081027667984191,0.4192589369878908,0.4108303300716249,0.7638434957809178,0.9301814988290392,0.8702785876255266,-0.022774518471036342,0.1551383399209489,0.054134905332807404,0.08699010239656729,0.041987869560203506,-0.03598872950819665,-0.014058956916099818
ANY,20704288,0.4432047318187932,0.46541501976284616,0.4540384218136752,0.47208206849303325,0.8110115974137826,0.9242169203747068,0.8715743440233239,0.3825980392156867,0.4407114624505931,0.4096037785358177,0.405370714040103,0.7660071000067883,0.907823477751756,0.8542274052478136,0.06060669260310653,0.024703557312253044,0.04443464327785751,0.06671135445293025,0.045004497406994304,0.016393442622950838,0.0173469387755103
ANY,20712207,0.36409169716817635,0.5335968379446644,0.4328409481277918,0.49177752238666544,0.8058542477101482,0.8792081381733015,0.8395529640427601,0.3749272268581415,0.5454545454545457,0.444393329499713,0.4258925552446426,0.7692063348232606,0.8821355386416856,0.8435050210560416,-0.010835529689965151,-0.011857707509881354,-0.011552381371921217,0.06588496714202285,0.036647912886887624,-0.0029274004683841337,-0.003952057013281496
ANY,20720126,0.376962799030457,0.5049407114624509,0.43166596271043317,0.4300092553438426,0.7464028337352242,0.8918325526932078,0.8474408811143507,0.3321470937129306,0.5138339920948619,0.4034805741838946,0.4109470651608698,0.7286102882216678,0.8660897248243553,0.8256721736313574,0.04481570531752638,-0.008893280632411016,0.02818538852653857,0.019062190182972782,0.017792545513556357,0.025742827868852514,0.02176870748299331
ANY,20728045,0.3737556561085973,0.3498023715415021,0.36138252880268346,0.35420454814922436,0.7653681714720002,0.9240339578454329,0.8581470683511502,0.3519290227181074,0.3695652173913045,0.3605315706121327,0.354622574587994,0.7075002451553261,0.911793764637002,0.8495788791707162,0.021826633390489902,-0.01976284584980237,0.0008509581905507546,-0.0004180264387696475,0.057867926316674145,0.012240193208430838,0.008568189180434005
ANY,20735964,0.41469850903813205,0.4436758893280635,0.42869808361181233,0.4701271077996451,0.7999000769069371,0.9188378220140511,0.8643181081956592,0.4186879823594269,0.4288537549407117,0.4237099023709905,0.3658623844482734,0.744407999787098,0.9228264051522244,0.8661483641075479,-0.003989473321294845,0.014822134387351804,0.004988181240821843,0.10426472335137171,0.055492077119839056,-0.003988583138173296,-0.0018302559118886785
ANY,20743883,0.4381915902624091,0.39130434782608714,0.4134228187919465,0.4188664962637275,0.7851739616888517,0.9349751170960183,0.8725947521865891,0.3451445762995153,0.2915019762845851,0.3160633657304661,0.3198866527850129,0.7386368698568005,0.9283152810304446,0.8552478134110788,0.09304701396289383,0.09980237154150207,0.09735945306148036,0.09897984347871464,0.046537091832051125,0.006659836065573743,0.0173469387755103
ANY,20751802,0.40117560617193293,0.4624505928853757,0.4296393442622955,0.41561161481581643,0.7839930880179453,0.9105313231850112,0.8591188856494979,0.3693387681159426,0.4604743083003955,0.4099019854234736,0.355676900589315,0.7324340845548192,0.898089871194379,0.847878198898607,0.03183683805599036,0.0019762845849802257,0.019737358838821883,0.05993471422650143,0.05155900346312614,0.01244145199063218,0.01124068675089085
ANY,20759721,0.415494458653027,0.5503952569169963,0.4735244109788685,0.49959554854688304,0.8107869862007202,0.8996450526932078,0.8595724003887271,0.4187592319054657,0.4802371541501978,0.4473961073119414,0.4071728431715119,0.7558555060295196,0.9136050936768144,0.8638807904114029,-0.003264773252438735,0.07015810276679851,0.02612830366692709,0.09242270537537112,0.05493148017120064,-0.013960040983606592,-0.004308390022675801
ANY,20767640,0.3044428259286239,0.4130434782608698,0.3505241090146754,0.3462134161111381,0.7315924991051951,0.8776895491803272,0.8243764172335601,0.2609816559246409,0.3715415019762847,0.3065991030345393,0.3269378612644586,0.6979275202738874,0.8636380269320837,0.8071752510528022,0.043461170003982974,0.041501976284585074,0.0439250059801361,0.019275554846679477,0.0336649788313077,0.014051522248243464,0.017201166180757954
