ga,first_bmi,delta_bmi,age,height,predicted_y,predicted_logit,conditional_low,conditional_high,new_woman_low,new_woman_high
24,32,0.0,28.897260273972602,161.0503913894325,0.09740097171574376,-2.2264422236718633,0.060931855494166784,0.15216088032977326,0.0389315579383831,0.22328161889515977
25,32,0.0,28.897260273972602,161.0503913894325,0.10309548974638412,-2.1632937581571596,0.0646469293723034,0.1604876694556059,0.04136433795238449,0.23442427182243966
10,34,0.0,28.897260273972602,161.0503913894325,0.05374164260127869,-2.8683274684074638,0.033021507057723685,0.08630275443692992,0.020874618892256853,0.1314122548564048
11,34,0.0,28.897260273972602,161.0503913894325,0.05494306361389006,-2.8449477338073863,0.03377625321383435,0.08816427386806429,0.02135786546013211,0.13410396277614325
12,34,0.0,28.897260273972602,161.0503913894325,0.056169748679583686,-2.8215679992073084,0.03454763367850303,0.09006198784278908,0.02185204949241605,0.13684211863349655
14,34,0.0,28.897260273972602,161.0503913894325,0.058700753767919896,-2.774808530007153,0.03614165579959713,0.09396812807339414,0.022874177979566722,0.14245954300840544
16,34,0.0,28.897260273972602,161.0503913894325,0.0613383940026749,-2.7280490608069976,0.03780634576062089,0.0980254334244425,0.02394294618837984,0.1482679542997023
18,34,0.0,28.897260273972602,161.0503913894325,0.0640864839704496,-2.681289591606842,0.03954456577667947,0.10223815485305475,0.025060370561953434,0.1542705840795746
20,34,0.0,28.897260273972602,161.0503913894325,0.07209178916361798,-2.554992660577435,0.04463042865201087,0.11442648067156325,0.028338370734130255,0.17147714387608554
22,34,0.0,28.897260273972602,161.0503913894325,0.08101051424775056,-2.4286957295480276,0.0503361086937655,0.12786089479318585,0.032031059714384115,0.19017129875915326
24,34,0.0,28.897260273972602,161.0503913894325,0.09092448832014277,-2.30239879851862,0.05672790689734287,0.1426185798537805,0.03618701161278881,0.2103859507966695
25,34,0.0,28.897260273972602,161.0503913894325,0.09628075107280734,-2.239250333003916,0.06020309442685841,0.15051588365600957,0.03845515099974483,0.22106822278168672
10,36,0.0,28.897260273972602,161.0503913894325,0.05000735996896129,-2.9442840432542208,0.030680299393095578,0.08049841036230386,0.019377361457968537,0.12298239829901098
11,36,0.0,28.897260273972602,161.0503913894325,0.05112981006996342,-2.9209043086541433,0.031383271141726565,0.08224600177659544,0.019826648449533822,0.12552639168552976
12,36,0.0,28.897260273972602,161.0503913894325,0.052276067965234284,-2.8975245740540654,0.03210181651409684,0.0840280656851419,0.020286137188581257,0.12811532225468988
14,36,0.0,28.897260273972602,161.0503913894325,0.0546417814461525,-2.85076510485391,0.0335869149350457,0.08769772671527197,0.021236610443897186,0.13342988583648227
16,36,0.0,28.897260273972602,161.0503913894325,0.05710810232988351,-2.8040056356537546,0.03513822297443865,0.09151163750997073,0.022230606053407712,0.13892978224314798
18,36,0.0,28.897260273972602,161.0503913894325,0.05967871605519996,-2.757246166453599,0.03675845728842997,0.0954740545444503,0.02327002025765909,0.14461854746693392
20,36,0.0,28.897260273972602,161.0503913894325,0.06717294634905831,-2.630949235424192,0.041501479448961556,0.10695206373686522,0.026320157430855726,0.1609534475798072
22,36,0.0,28.897260273972602,161.0503913894325,0.07553267907023556,-2.504652304394784,0.04682675217182462,0.11962747560374924,0.02975791322440738,0.1787478430171897
24,36,0.0,28.897260273972602,161.0503913894325,0.0848381684634865,-2.378355373365377,0.052797699111389776,0.13358041252730718,0.03362917654733384,0.1980451696554345
25,36,0.0,28.897260273972602,161.0503913894325,0.0898713378975915,-2.315206907850673,0.0560464252820462,0.14105958063857185,0.035742940732123606,0.20826611257752542
10,40,0.0,28.897260273972602,161.0503913894325,0.043264389831959474,-3.0961971929477348,0.0264707659840167,0.06994675773711251,0.016691957642773494,0.10751311580551812
11,40,0.0,28.897260273972602,161.0503913894325,0.04424253788219148,-3.0728174583476573,0.027079980105464415,0.07148308494232208,0.01708006487011928,0.10977716828679912
12,40,0.0,28.897260273972602,161.0503913894325,0.045241754762010956,-3.0494377237475794,0.027702816069499956,0.07305050597978921,0.017477035648283883,0.11208291050559255
14,40,0.0,28.897260273972602,161.0503913894325,0.047305025136406095,-3.002678254547424,0.028990502807419775,0.07628068120337682,0.01829835133753928,0.11682151766199975
16,40,0.0,28.897260273972602,161.0503913894325,0.0494575175808902,-2.9559187853472686,0.03033617651649139,0.07964141764985212,0.01915751135709616,0.12173299605103732
18,40,0.0,28.897260273972602,161.0503913894325,0.05170263822361792,-2.909159316147113,0.03174227144390492,0.08313689350218316,0.020056187253414674,0.12682131426595114
20,40,0.0,28.897260273972602,161.0503913894325,0.05825731664642604,-2.782862385117706,0.0358621419732047,0.09328467666246162,0.022694856714520727,0.14147847559969978
22,40,0.0,28.897260273972602,161.0503913894325,0.06558550250726644,-2.656565454088298,0.04049437269245936,0.10452989348408981,0.025671585341180806,0.15752401540463395
24,40,0.0,28.897260273972602,161.0503913894325,0.07376329839648273,-2.530268523058891,0.045696579186304535,0.11695583664847352,0.02902715457888942,0.17501835254638923
25,40,0.0,28.897260273972602,161.0503913894325,0.0781955723221,-2.467120057544187,0.04853074935530888,0.12363702012352637,0.030860895843282388,0.1843240456590372
